fdc_id,data_type,description,food_category_id,publication_date
2705702,survey_fndds_food,Tiramisu,3298952,2024-10-31
2705795,survey_fndds_food,"Cheese sandwich, American cheese, on white bread",3299138,2024-10-31
2705796,survey_fndds_food,"Cheese sandwich, American cheese, on wheat bread",3299140,2024-10-31
2705797,survey_fndds_food,"Cheese sandwich, cheddar cheese, on white bread",3299142,2024-10-31
2705798,survey_fndds_food,"Cheese sandwich, cheddar cheese, on wheat bread",3299144,2024-10-31
2705800,survey_fndds_food,"Cheese sandwich, reduced fat cheese, on wheat bread",3299148,2024-10-31
2705872,survey_fndds_food,"Pork, chop, stuffed",3299292,2024-10-31
2706371,survey_fndds_food,Beef burgundy,3300290,2024-10-31
2706372,survey_fndds_food,"Guisada, beef",3300292,2024-10-31
2706377,survey_fndds_food,Chili with meat,3300302,2024-10-31
2706378,survey_fndds_food,"Sloppy joe, no bun",3300304,2024-10-31
2706379,survey_fndds_food,Beef with gravy,3300306,2024-10-31
2706382,survey_fndds_food,Beef stroganoff,3300312,2024-10-31
2706387,survey_fndds_food,Steak teriyaki,3300322,2024-10-31
2706388,survey_fndds_food,Beef curry,3300324,2024-10-31
2706389,survey_fndds_food,Beef curry with rice,3300326,2024-10-31
2706394,survey_fndds_food,Steak tartare,3300336,2024-10-31
2706402,survey_fndds_food,Ham stroganoff,3300352,2024-10-31
2706406,survey_fndds_food,Sausage gravy,3300360,2024-10-31
2706407,survey_fndds_food,"Guisada, pork",3300362,2024-10-31
2706415,survey_fndds_food,Veal scallopini,3300378,2024-10-31
2706416,survey_fndds_food,Veal Marsala,3300380,2024-10-31
2706417,survey_fndds_food,Veal parmigiana,3300382,2024-10-31
2706418,survey_fndds_food,Veal cordon bleu,3300384,2024-10-31
2706421,survey_fndds_food,Chicken or turkey cacciatore,3300390,2024-10-31
2706425,survey_fndds_food,Chili with chicken and beans,3300398,2024-10-31
2706426,survey_fndds_food,Chili with chicken,3300400,2024-10-31
2706427,survey_fndds_food,"Chili, white",3300402,2024-10-31
2706428,survey_fndds_food,Chicken with gravy,3300404,2024-10-31
2706429,survey_fndds_food,Chicken or turkey fricassee,3300406,2024-10-31
2706430,survey_fndds_food,Turkey with gravy,3300408,2024-10-31
2706434,survey_fndds_food,Barbecue chicken,3300416,2024-10-31
2706437,survey_fndds_food,Chicken curry,3300422,2024-10-31
2706438,survey_fndds_food,Chicken curry with rice,3300424,2024-10-31
2706439,survey_fndds_food,Chicken with mole sauce,3300426,2024-10-31
2706441,survey_fndds_food,Chicken or turkey cordon bleu,3300430,2024-10-31
2706442,survey_fndds_food,Chicken or turkey parmigiana,3300432,2024-10-31
2706443,survey_fndds_food,Orange chicken,3300434,2024-10-31
2706444,survey_fndds_food,Sesame chicken,3300436,2024-10-31
2706445,survey_fndds_food,Chicken kiev,3300438,2024-10-31
2706460,survey_fndds_food,Fish curry,3300468,2024-10-31
2706462,survey_fndds_food,Shrimp teriyaki,3300472,2024-10-31
2706463,survey_fndds_food,Ceviche,3300474,2024-10-31
2706466,survey_fndds_food,"Stew, fish",3300480,2024-10-31
2706476,survey_fndds_food,"Beef, roast, hash",3300500,2024-10-31
2706477,survey_fndds_food,Corned beef hash,3300502,2024-10-31
2706483,survey_fndds_food,Chili with macaroni,3300514,2024-10-31
2706490,survey_fndds_food,Biryani with meat,3300528,2024-10-31
2706501,survey_fndds_food,Beef wellington,3300550,2024-10-31
2706502,survey_fndds_food,Corned beef patty,3300552,2024-10-31
2706508,survey_fndds_food,Ham croquette,3300564,2024-10-31
2706519,survey_fndds_food,"Stew, pork",3300586,2024-10-31
2706521,survey_fndds_food,Lamb or mutton loaf,3300590,2024-10-31
2706527,survey_fndds_food,Chicken or turkey hash,3300602,2024-10-31
2706534,survey_fndds_food,Chicken or turkey tetrazzini,3300616,2024-10-31
2706538,survey_fndds_food,Biryani with chicken,3300624,2024-10-31
2706544,survey_fndds_food,Chicken or turkey with stuffing,3300636,2024-10-31
2706546,survey_fndds_food,Chicken or turkey souffle,3300640,2024-10-31
2706549,survey_fndds_food,"Crab, cake",3300646,2024-10-31
2706551,survey_fndds_food,Gefilte fish,3300650,2024-10-31
2706564,survey_fndds_food,Clams Casino,3300676,2024-10-31
2706567,survey_fndds_food,Shrimp toast,3300682,2024-10-31
2706591,survey_fndds_food,"Stew, beef, canned",3300730,2024-10-31
2706592,survey_fndds_food,"Stew, beef",3300732,2024-10-31
2706594,survey_fndds_food,Shepherd's pie,3300736,2024-10-31
2706630,survey_fndds_food,"Pot pie, beef",3300808,2024-10-31
2706660,survey_fndds_food,"Stew, lamb",3300868,2024-10-31
2706677,survey_fndds_food,"Stew, chicken, with pasta",3300902,2024-10-31
2706678,survey_fndds_food,"Stew, chicken",3300904,2024-10-31
2706703,survey_fndds_food,"Pot pie, chicken",3300954,2024-10-31
2706711,survey_fndds_food,Paella with seafood,3300970,2024-10-31
2706732,survey_fndds_food,Swiss steak,3301012,2024-10-31
2706740,survey_fndds_food,Szechuan beef,3301028,2024-10-31
2706741,survey_fndds_food,Hunan beef,3301030,2024-10-31
2706743,survey_fndds_food,Kung Pao beef,3301034,2024-10-31
2706747,survey_fndds_food,Pepper steak,3301042,2024-10-31
2706749,survey_fndds_food,Beef salad,3301046,2024-10-31
2706756,survey_fndds_food,Ham or pork salad,3301060,2024-10-31
2706763,survey_fndds_food,Kung Pao pork,3301074,2024-10-31
2706766,survey_fndds_food,Pork hash,3301080,2024-10-31
2706789,survey_fndds_food,Chicken or turkey divan,3301126,2024-10-31
2706795,survey_fndds_food,Moo Goo Gai Pan,3301138,2024-10-31
2706796,survey_fndds_food,Kung pao chicken,3301140,2024-10-31
2706797,survey_fndds_food,Almond chicken,3301142,2024-10-31
2706824,survey_fndds_food,Crab salad,3301196,2024-10-31
2706825,survey_fndds_food,Lobster salad,3301198,2024-10-31
2706826,survey_fndds_food,Salmon salad,3301200,2024-10-31
2706837,survey_fndds_food,Shrimp salad,3301222,2024-10-31
2706850,survey_fndds_food,Lomi salmon,3301248,2024-10-31
2706857,survey_fndds_food,Kung Pao shrimp,3301262,2024-10-31
2706873,survey_fndds_food,Lau lau,3301294,2024-10-31
2706890,survey_fndds_food,Cheeseburger (Burger King),3301328,2024-10-31
2706892,survey_fndds_food,Cheeseburger (McDonalds),3301332,2024-10-31
2706894,survey_fndds_food,Cheeseburger slider,3301336,2024-10-31
2706915,survey_fndds_food,McDouble (McDonalds),3301378,2024-10-31
2706916,survey_fndds_food,Big Mac (McDonalds),3301380,2024-10-31
2706922,survey_fndds_food,Hamburger (Burger King),3301392,2024-10-31
2706923,survey_fndds_food,Whopper Jr (Burger King),3301394,2024-10-31
2706924,survey_fndds_food,Hamburger (McDonalds),3301396,2024-10-31
2706926,survey_fndds_food,Hamburger slider,3301400,2024-10-31
2706931,survey_fndds_food,Whopper (Burger King),3301410,2024-10-31
2706945,survey_fndds_food,Meatball sandwich or sub,3301438,2024-10-31
2706946,survey_fndds_food,Meatloaf sandwich,3301440,2024-10-31
2706952,survey_fndds_food,Reuben sandwich,3301452,2024-10-31
2706957,survey_fndds_food,French dip sandwich,3301462,2024-10-31
2706959,survey_fndds_food,Steak sandwich or sub on wheat,3301466,2024-10-31
2706962,survey_fndds_food,Gyro sandwich,3301472,2024-10-31
2706964,survey_fndds_food,Ham sandwich on white,3301476,2024-10-31
2706966,survey_fndds_food,Ham sandwich on wheat,3301480,2024-10-31
2706970,survey_fndds_food,Ham sandwich wrap,3301488,2024-10-31
2706973,survey_fndds_food,Cuban sandwich,3301494,2024-10-31
2706974,survey_fndds_food,Barbecue rib sandwich,3301496,2024-10-31
2706977,survey_fndds_food,Pork sandwich,3301502,2024-10-31
2706978,survey_fndds_food,"Pork sandwich, with cheese",3301504,2024-10-31
2706987,survey_fndds_food,Turkey sandwich wrap,3301522,2024-10-31
2706990,survey_fndds_food,Chicken salad sandwich on white,3301528,2024-10-31
2706991,survey_fndds_food,Chicken salad sandwich on wheat,3301530,2024-10-31
2706992,survey_fndds_food,Chicken salad sandwich wrap,3301532,2024-10-31
2706993,survey_fndds_food,Club sandwich on white,3301534,2024-10-31
2706995,survey_fndds_food,Club sandwich on wheat,3301538,2024-10-31
2707001,survey_fndds_food,"Chicken fillet sandwich, from school cafeteria",3301550,2024-10-31
2707002,survey_fndds_food,"Chicken fillet biscuit, from fast food",3301552,2024-10-31
2707003,survey_fndds_food,"Chicken fillet sandwich, fried, from fast food",3301554,2024-10-31
2707008,survey_fndds_food,"Chicken fillet sandwich, fried, on white bun",3301564,2024-10-31
2707010,survey_fndds_food,"Chicken fillet sandwich, fried, on wheat bun",3301568,2024-10-31
2707022,survey_fndds_food,Crab cake sandwich,3301592,2024-10-31
2707023,survey_fndds_food,Salmon cake sandwich,3301594,2024-10-31
2707031,survey_fndds_food,"Fish sandwich, grilled",3301610,2024-10-31
2707032,survey_fndds_food,Fish wrap sandwich,3301612,2024-10-31
2707033,survey_fndds_food,Sardine sandwich,3301614,2024-10-31
2707044,survey_fndds_food,Corn dog,3301636,2024-10-31
2707045,survey_fndds_food,Pig in a blanket,3301638,2024-10-31
