id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
34156829,2705702,1003,5.65,,,,,,,
34156830,2705702,1004,23.9,,,,,,,
34156831,2705702,1005,29.4,,,,,,,
34156832,2705702,1008,353,,,,,,,
34162874,2705795,1003,12.5,,,,,,,
34162875,2705795,1004,13.3,,,,,,,
34162876,2705795,1005,31.9,,,,,,,
34162877,2705795,1008,297,,,,,,,
34162939,2705796,1003,13.6,,,,,,,
34162940,2705796,1004,13.5,,,,,,,
34162941,2705796,1005,29.7,,,,,,,
34162942,2705796,1008,295,,,,,,,
34163004,2705797,1003,15.1,,,,,,,
34163005,2705797,1004,16.1,,,,,,,
34163006,2705797,1005,30,,,,,,,
34163007,2705797,1008,325,,,,,,,
34163069,2705798,1003,16.3,,,,,,,
34163070,2705798,1004,16.3,,,,,,,
34163071,2705798,1005,27.7,,,,,,,
34163072,2705798,1008,323,,,,,,,
34163199,2705800,1003,14,,,,,,,
34163200,2705800,1004,8.14,,,,,,,
34163201,2705800,1005,31.1,,,,,,,
34163202,2705800,1008,254,,,,,,,
34167879,2705872,1003,18.4,,,,,,,
34167880,2705872,1004,9.04,,,,,,,
34167881,2705872,1005,7.82,,,,,,,
34167882,2705872,1008,190,,,,,,,
34200314,2706371,1003,18.5,,,,,,,
34200315,2706371,1004,6,,,,,,,
34200316,2706371,1005,4.19,,,,,,,
34200317,2706371,1008,148,,,,,,,
34200379,2706372,1003,10.8,,,,,,,
34200380,2706372,1004,6.62,,,,,,,
34200381,2706372,1005,2.52,,,,,,,
34200382,2706372,1008,115,,,,,,,
34200704,2706377,1003,13.3,,,,,,,
34200705,2706377,1004,8.22,,,,,,,
34200706,2706377,1005,2.41,,,,,,,
34200707,2706377,1008,139,,,,,,,
34200769,2706378,1003,12.1,,,,,,,
34200770,2706378,1004,7.63,,,,,,,
34200771,2706378,1005,5.48,,,,,,,
34200772,2706378,1008,140,,,,,,,
34200834,2706379,1003,21.6,,,,,,,
34200835,2706379,1004,7.05,,,,,,,
34200836,2706379,1005,1.58,,,,,,,
34200837,2706379,1008,156,,,,,,,
34201029,2706382,1003,10.1,,,,,,,
34201030,2706382,1004,9.33,,,,,,,
34201031,2706382,1005,6.21,,,,,,,
34201032,2706382,1008,150,,,,,,,
34201354,2706387,1003,28.9,,,,,,,
34201355,2706387,1004,8.25,,,,,,,
34201356,2706387,1005,1.94,,,,,,,
34201357,2706387,1008,198,,,,,,,
34201419,2706388,1003,7.57,,,,,,,
34201420,2706388,1004,6.57,,,,,,,
34201421,2706388,1005,6.53,,,,,,,
34201422,2706388,1008,113,,,,,,,
34201484,2706389,1003,5.61,,,,,,,
34201485,2706389,1004,4.05,,,,,,,
34201486,2706389,1005,15.1,,,,,,,
34201487,2706389,1008,119,,,,,,,
34201809,2706394,1003,17.4,,,,,,,
34201810,2706394,1004,15.6,,,,,,,
34201811,2706394,1005,0.34,,,,,,,
34201812,2706394,1008,216,,,,,,,
34202329,2706402,1003,7.62,,,,,,,
34202330,2706402,1004,8.85,,,,,,,
34202331,2706402,1005,5.19,,,,,,,
34202332,2706402,1008,131,,,,,,,
34202589,2706406,1003,6.78,,,,,,,
34202590,2706406,1004,13.6,,,,,,,
34202591,2706406,1005,7.65,,,,,,,
34202592,2706406,1008,180,,,,,,,
