id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight,data_points,footnote,min_year_acquired
291524,2705702,2,,9999,1 cubic inch,51000,10,,,
291526,2705702,4,,9999,Quantity not specified,90000,175,,,
291525,2705702,3,,9999,1 cup,10205,145,,,
291523,2705702,1,,9999,1 piece,61667,175,,,
291989,2705795,1,,9999,1 sandwich,61853,102,,,
291990,2705795,2,,9999,Quantity not specified,90000,102,,,
291991,2705796,1,,9999,1 sandwich,61853,102,,,
291992,2705796,2,,9999,Quantity not specified,90000,102,,,
291993,2705797,1,,9999,1 sandwich,61853,102,,,
291994,2705797,2,,9999,Quantity not specified,90000,102,,,
291996,2705798,2,,9999,Quantity not specified,90000,102,,,
291995,2705798,1,,9999,1 sandwich,61853,102,,,
291999,2705800,1,,9999,1 sandwich,61853,102,,,
292000,2705800,2,,9999,Quantity not specified,90000,102,,,
292383,2705872,2,,9999,1 oz yields,40016,20,,,
292382,2705872,1,,9999,"1 chop, any size",62632,180,,,
292386,2705872,5,,9999,Quantity not specified,90000,180,,,
292385,2705872,4,,9999,1 cup,10205,135,,,
292384,2705872,3,,9999,1 cubic inch,51000,17,,,
295100,2706371,2,,9999,Quantity not specified,90000,183,,,
295099,2706371,1,,9999,1 cup,10205,244,,,
295101,2706372,1,,9999,1 cup,10205,255,,,
295102,2706372,2,,9999,Quantity not specified,90000,255,,,
295115,2706377,1,,9999,1 cup,10205,255,,,
295116,2706377,2,,9999,Quantity not specified,90000,255,,,
295118,2706378,2,,9999,Quantity not specified,90000,190,,,
295117,2706378,1,,9999,1 cup,10205,250,,,
295125,2706379,7,,9999,"1 cubic inch, boneless, cooked",51005,17,,,
295124,2706379,6,,9999,Quantity not specified,90000,183,,,
295123,2706379,5,,9999,1 large patty with gravy,61044,158,,,
295121,2706379,3,,9999,1 small patty with gravy,62145,83,,,
295122,2706379,4,,9999,1 medium patty with gravy,61378,115,,,
295120,2706379,2,,9999,1 slice with gravy,62002,65,,,
295119,2706379,1,,9999,1 cup,10205,244,,,
295132,2706382,1,,9999,1 cup,10205,256,,,
295133,2706382,2,,9999,Quantity not specified,90000,192,,,
295145,2706387,1,,9999,1 cup,10205,244,,,
295146,2706387,2,,9999,Quantity not specified,90000,183,,,
295147,2706388,1,,9999,1 cup,10205,240,,,
295148,2706388,2,,9999,Quantity not specified,90000,240,,,
295150,2706389,2,,9999,Quantity not specified,90000,200,,,
295149,2706389,1,,9999,1 cup,10205,200,,,
295161,2706394,1,,9999,1 cup,10205,225,,,
295162,2706394,2,,9999,Quantity not specified,90000,169,,,
295183,2706402,2,,9999,Quantity not specified,90000,183,,,
295182,2706402,1,,9999,1 cup,10205,244,,,
295196,2706406,2,,9999,Quantity not specified,90000,60,,,
295195,2706406,1,,9999,1 cup,10205,240,,,
295197,2706407,1,,9999,1 cup,10205,255,,,
295198,2706407,2,,9999,Quantity not specified,90000,255,,,
295219,2706415,3,,9999,Quantity not specified,90000,105,,,
295218,2706415,2,,9999,1 cup,10205,140,,,
295217,2706415,1,,9999,1 slice with sauce,62006,96,,,
295221,2706416,2,,9999,Quantity not specified,90000,96,,,
295220,2706416,1,,9999,1 slice with sauce,62006,96,,,
295224,2706417,3,,9999,Quantity not specified,90000,157,,,
295222,2706417,1,,9999,1 patty with sauce and cheese,61742,182,,,
295223,2706417,2,,9999,1 cup,10205,209,,,
295226,2706418,2,,9999,Quantity not specified,90000,229,,,
295225,2706418,1,,9999,1 roll (with ham and sauce),61833,229,,,
295233,2706421,1,,9999,1 cup,10205,244,,,
295238,2706421,6,,9999,1 chicken wing with sauce,60566,59,,,
295237,2706421,5,,9999,1 chicken drumstick with sauce,60559,90,,,
295236,2706421,4,,9999,1 chicken leg with sauce,60562,197,,,
295240,2706421,8,,9999,1 slice of turkey with sauce,61997,48,,,
295235,2706421,3,,9999,1 chicken thigh with sauce,60564,107,,,
295239,2706421,7,,9999,1 slice of chicken with sauce,61996,24,,,
295241,2706421,9,,9999,Quantity not specified,90000,244,,,
295234,2706421,2,,9999,1/2 chicken breast with sauce,62388,169,,,
295255,2706425,2,,9999,Quantity not specified,90000,255,,,
295254,2706425,1,,9999,1 cup,10205,255,,,
295256,2706426,1,,9999,1 cup,10205,255,,,
295257,2706426,2,,9999,Quantity not specified,90000,255,,,
295258,2706427,1,,9999,1 cup,10205,255,,,
295259,2706427,2,,9999,Quantity not specified,90000,255,,,
295266,2706428,7,,9999,1 chicken wing with gravy,60565,44,,,
295261,2706428,2,,9999,1 slice with gravy,62002,22,,,
295263,2706428,4,,9999,1 chicken thigh with gravy,60563,78,,,
295267,2706428,8,,9999,Quantity not specified,90000,244,,,
295265,2706428,6,,9999,1 chicken drumstick with gravy,60558,68,,,
295260,2706428,1,,9999,1 cup,10205,244,,,
295262,2706428,3,,9999,1/2 chicken breast with gravy,62387,129,,,
295264,2706428,5,,9999,1 chicken leg with gravy,60561,145,,,
295269,2706429,2,,9999,Quantity not specified,90000,244,,,
295268,2706429,1,,9999,1 cup,10205,244,,,
295270,2706430,1,,9999,1 cup,10205,244,,,
295272,2706430,3,,9999,Quantity not specified,90000,244,,,
295271,2706430,2,,9999,1 slice with gravy,62002,43,,,
295299,2706434,1,,9999,1 cup,10205,240,,,
295300,2706434,2,,9999,Quantity not specified,90000,180,,,
295308,2706437,2,,9999,Quantity not specified,90000,240,,,
295307,2706437,1,,9999,1 cup,10205,240,,,
295309,2706438,1,,9999,1 cup,10205,200,,,
295310,2706438,2,,9999,Quantity not specified,90000,200,,,
295312,2706439,2,,9999,Quantity not specified,90000,244,,,
295311,2706439,1,,9999,1 cup,10205,244,,,
295315,2706441,1,,9999,1 roll (1/2 breast with ham and sauce),61829,229,,,
295316,2706441,2,,9999,1 cup,10205,140,,,
295317,2706441,3,,9999,Quantity not specified,90000,140,,,
295318,2706442,1,,9999,1 patty with sauce and cheese,61742,182,,,
295321,2706442,4,,9999,1/2 breast with sauce and cheese,63885,159,,,
295319,2706442,2,,9999,Quantity not specified,90000,209,,,
295320,2706442,3,,9999,1 cup,10205,209,,,
295322,2706442,5,,9999,1 thigh with sauce and cheese,63886,106,,,
295328,2706443,6,,9999,1 chicken drumstick with sauce,60559,71,,,
295323,2706443,1,,9999,1 cup,10205,252,,,
295329,2706443,7,,9999,1 chicken wing with sauce,60566,47,,,
295327,2706443,5,,9999,1 chicken leg with sauce,60562,156,,,
295326,2706443,4,,9999,1 chicken thigh with sauce,60564,85,,,
295325,2706443,3,,9999,1/2 chicken breast with sauce,62388,134,,,
295324,2706443,2,,9999,Quantity not specified,90000,189,,,
295335,2706444,6,,9999,1 chicken wing with sauce,60566,47,,,
295336,2706444,7,,9999,Quantity not specified,90000,189,,,
295331,2706444,2,,9999,1/2 chicken breast with sauce,62388,134,,,
295330,2706444,1,,9999,1 cup,10205,252,,,
295332,2706444,3,,9999,1 chicken thigh with sauce,60564,85,,,
295334,2706444,5,,9999,1 chicken drumstick with sauce,60559,71,,,
295333,2706444,4,,9999,1 chicken leg with sauce,60562,156,,,
295338,2706445,2,,9999,Quantity not specified,90000,258,,,
295337,2706445,1,,9999,1 serving (1 whole breast),61894,258,,,
295371,2706460,2,,9999,Quantity not specified,90000,240,,,
295370,2706460,1,,9999,1 cup,10205,240,,,
295375,2706462,2,,9999,Quantity not specified,90000,113,,,
295374,2706462,1,,9999,1 cup,10205,201,,,
295377,2706463,2,,9999,Quantity not specified,90000,125,,,
295376,2706463,1,,9999,1 cup,10205,250,,,
295383,2706466,2,,9999,Quantity not specified,90000,255,,,
295382,2706466,1,,9999,1 cup,10205,255,,,
295404,2706476,1,,9999,1 cup,10205,190,,,
295405,2706476,2,,9999,Quantity not specified,90000,142,,,
295408,2706477,3,,9999,1 small can (7 oz),62080,198,,,
295410,2706477,5,,9999,1 large can,60987,716,,,
295406,2706477,1,,9999,"1 cup, NFS",10010,220,,,
295407,2706477,2,,9999,"1 cup, canned",10029,220,,,
295409,2706477,4,,9999,1 medium can (15 oz),61313,425,,,
295412,2706477,7,,9999,"1 cup, homemade",10108,190,,,
295411,2706477,6,,9999,Quantity not specified,90000,165,,,
295426,2706483,1,,9999,1 cup,10205,255,,,
295427,2706483,2,,9999,Quantity not specified,90000,255,,,
295442,2706490,2,,9999,Quantity not specified,90000,245,,,
295441,2706490,1,,9999,1 cup,10205,196,,,
295493,2706501,1,,9999,1 slice,61935,116,,,
295494,2706501,2,,9999,Quantity not specified,90000,87,,,
295495,2706502,1,,9999,1 patty,61633,100,,,
295496,2706502,2,,9999,Quantity not specified,90000,100,,,
295517,2706508,3,,9999,Quantity not specified,90000,105,,,
295515,2706508,1,,9999,"1 croquette (1-1/2"" dia, 2"" high)",60638,62,,,
295516,2706508,2,,9999,1 cup,10205,140,,,
295539,2706519,1,,9999,1 cup,10205,255,,,
295540,2706519,2,,9999,Quantity not specified,90000,255,,,
295546,2706521,4,,9999,1 cup,10205,140,,,
295544,2706521,2,,9999,1 medium slice,61398,108,,,
295543,2706521,1,,9999,1 small or thin slice,62138,86,,,
295545,2706521,3,,9999,1 large slice,61069,144,,,
295547,2706521,5,,9999,Quantity not specified,90000,70,,,
